epoch,acc,nmi,pur,ari,loss
100,0.4492,0.4241375639994612,0.4885,0.2700288026609136,0.5438121557235718
200,0.7505,0.6698096366319163,0.7505,0.5761375031992544,0.5139456987380981
300,0.7787,0.7069430731320498,0.7787,0.6371860938315977,0.49000096321105957
400,0.9958,0.9866719422629685,0.9958,0.99068985218425,0.46923577785491943
500,0.9974,0.991396194782802,0.9974,0.9942294829429222,0.44874536991119385
600,0.9979,0.9931730707086179,0.9979,0.9953388107264223,0.425685316324234
700,0.9979,0.9932330795358667,0.9979,0.9953380376421989,0.398187518119812
800,0.9982,0.994142805240962,0.9982,0.9960037420263036,0.36976122856140137
900,0.998,0.9935163699381336,0.998,0.9955604531892979,0.3599919378757477
1000,0.998,0.9934561420226787,0.998,0.9955601199511205,0.3505803346633911
1100,0.9981,0.9938596250403414,0.9981,0.9957818763512015,0.3297232389450073
1200,0.9981,0.9937995067376103,0.9981,0.9957820957705157,0.31772440671920776
1300,0.9979,0.9931731147008328,0.9979,0.9953390306599015,0.31253984570503235
