epoch,acc,nmi,pur,ari,loss
100,0.4832,0.4676605865180118,0.5466,0.3085206689835766,0.5413124561309814
200,0.6684,0.6246376138061246,0.708,0.5071200014761134,0.5114479064941406
300,0.648,0.6346140247550729,0.6806,0.5029556205667903,0.48778674006462097
400,0.9924,0.9794956623791794,0.9924,0.9832204638823069,0.46752095222473145
500,0.9952,0.9861916659168419,0.9952,0.9893654838464714,0.4476965069770813
600,0.996,0.9884791377272908,0.996,0.991131715633955,0.42536628246307373
700,0.997,0.9911286803711891,0.997,0.9933396237100101,0.3987848162651062
800,0.9968,0.9905028107670943,0.9968,0.9928988289887384,0.3710181713104248
900,0.9974,0.9920957213595093,0.9974,0.9942265171317528,0.3603416681289673
1000,0.9976,0.9928425236449555,0.9976,0.9946708823398438,0.3502418100833893
1100,0.9976,0.9927677350921106,0.9976,0.994671769029061,0.3303930163383484
1200,0.9972,0.9917560377211138,0.9972,0.9937879537076613,0.31741002202033997
1300,0.997,0.9912492693472512,0.997,0.9933413904414019,0.3120993971824646
